Epoch	Split	Loss	LR
1	Train	0.14299	0.000100
1	Validation	0.01489	0.000100
2	Train	0.07278	0.000099
2	Validation	0.01277	0.000099
3	Train	0.07272	0.000098
3	Validation	0.01264	0.000098
4	Train	0.07422	0.000097
4	Validation	0.01482	0.000097
5	Train	0.07419	0.000096
5	Validation	0.02070	0.000096
6	Train	0.07425	0.000095
6	Validation	0.03791	0.000095
7	Train	0.08319	0.000094
7	Validation	0.06603	0.000094
8	Train	0.07483	0.000093
8	Validation	0.06362	0.000093
9	Train	0.06942	0.000092
9	Validation	0.03850	0.000092
10	Train	0.06942	0.000091
10	Validation	0.04722	0.000091
11	Train	0.06941	0.000090
11	Validation	0.04512	0.000090
12	Train	0.06939	0.000089
12	Validation	0.04385	0.000089
13	Train	0.06941	0.000088
13	Validation	0.04708	0.000088
14	Train	0.06941	0.000087
14	Validation	0.04401	0.000087
15	Train	0.06944	0.000086
15	Validation	0.04868	0.000086
16	Train	0.06945	0.000085
16	Validation	0.04431	0.000085
